"nr_caf";"categoria_renda";"ds_tipo_renda";"ds_produto";"vl_renda_auferida";"vl_renda_estimada"
2149;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Outros Produtos;500.00;500.00
2149;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Mandioca (Aipim, Macaxeira) - Kg;500.00;500.00
2149;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho em Grão - Kg;300.00;300.00
2149;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Ovinocaprinocultura;Ovinocaprinocultura - Corte;4000.00;4000.00
2149;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Pecuária;Bovinos - Corte;20000.00;20000.00
2149;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Suinocultura;Suínos;4500.00;4500.00
2151;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Arroz;2000.00;2000.00
2151;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;23000.00;23000.00
2151;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Corte;55200.00;55200.00
2151;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;APOSENTADORIA POR IDADE - RURAL;18000.00;18000.00
2152;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;350000.00;350000.00
2152;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja;500000.00;500000.00
2152;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Emprego permanente no meio urbano;90000.00;90000.00
2153;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Feijão;1000.00;1000.00
2154;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Outras Frutas Lavoura Permanente;71089.54;71089.54
2154;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Fumo;24594.82;24594.82
2154;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Emprego permanente no meio urbano;79920.00;79920.00
2156;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Coco-da-Baía - Fruto;4600.00;4600.00
