municipio,nome_municipio_uf,ivs,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_e_trabalho,idhm,idhm_long,idhm_educ,idhm_renda,idhm_educ_sub_esc,idhm_educ_sub_freq
5213806,Morrinhos (GO),0.21,"0,076","0,300","0,254",0.73399999999999999,"0,862","0,621","0,739","0,478","0,708"
5213855,Morro Agudo de Goiás (GO),0.30599999999999999,"0,213","0,289","0,417",0.69499999999999995,"0,826","0,630","0,644","0,403","0,787"
5213905,Mossâmedes (GO),0.223,"0,041","0,294","0,333",0.70599999999999996,"0,811","0,623","0,696","0,378","0,800"
5214002,Mozarlândia (GO),0.27600000000000002,"0,115","0,400","0,312",0.68300000000000005,"0,825","0,565","0,684","0,447","0,635"
5214051,Mundo Novo (GO),0.38100000000000001,"0,225","0,439","0,479",0.63400000000000001,"0,812","0,488","0,642","0,297","0,626"
5214101,Mutunópolis (GO),0.312,"0,202","0,357","0,378",0.68,"0,806","0,584","0,668","0,406","0,701"
5214408,Nazário (GO),0.29499999999999998,"0,199","0,339","0,348",0.71,"0,808","0,631","0,702","0,440","0,755"
5214606,Niquelândia (GO),0.26600000000000001,"0,135","0,337","0,326",0.71499999999999997,"0,806","0,640","0,709","0,518","0,712"
5214705,Nova América (GO),0.24399999999999999,"0,135","0,282","0,316",0.67800000000000005,"0,796","0,604","0,647","0,390","0,752"
5214804,Nova Aurora (GO),0.20499999999999999,"0,003","0,310","0,303",0.747,"0,849","0,697","0,703","0,519","0,807"
5214838,Nova Crixás (GO),0.33800000000000002,"0,216","0,395","0,404",0.64300000000000002,"0,813","0,485","0,674","0,308","0,609"
5214861,Nova Glória (GO),0.34499999999999997,"0,307","0,352","0,377",0.68100000000000005,"0,816","0,589","0,657","0,374","0,740"
5214879,Nova Iguaçu de Goiás (GO),0.31,"0,099","0,370","0,462",0.65500000000000003,"0,812","0,540","0,642","0,345","0,675"
5214903,Nova Roma (GO),0.30299999999999999,"0,110","0,369","0,430",0.63400000000000001,"0,812","0,529","0,594","0,358","0,643"
5215207,Novo Brasil (GO),0.26700000000000002,"0,111","0,338","0,351",0.69899999999999995,"0,828","0,598","0,691","0,379","0,752"
5215256,Novo Planalto (GO),0.42299999999999999,"0,173","0,540","0,556",0.65800000000000003,"0,831","0,550","0,623","0,358","0,681"
5215306,Orizona (GO),0.24399999999999999,"0,097","0,282","0,354",0.71499999999999997,"0,827","0,612","0,722","0,424","0,735"
5215405,Ouro Verde de Goiás (GO),0.22900000000000001,"0,056","0,288","0,342",0.71899999999999997,"0,821","0,674","0,672","0,486","0,794"
5215504,Ouvidor (GO),0.161,"0,004","0,237","0,242",0.747,"0,830","0,697","0,721","0,540","0,792"
5215652,Palestina de Goiás (GO),0.22900000000000001,"0,114","0,253","0,320",0.71299999999999997,"0,837","0,660","0,656","0,489","0,767"
5215702,Palmeiras de Goiás (GO),0.26700000000000002,"0,073","0,401","0,327",0.69799999999999995,"0,815","0,598","0,698","0,467","0,676"
5215801,Palmelo (GO),0.184,"0,005","0,248","0,299",0.73,"0,804","0,659","0,734","0,491","0,763"
5215900,Palminópolis (GO),0.221,"0,003","0,327","0,334",0.72199999999999998,"0,833","0,630","0,718","0,410","0,781"
