"nr_caf";"ds_tipo_area";"ds_tipo_unidade_medida";"nr_area";"cd_municipio";"sg_uf";"nm_municipio";"ds_tipo_localizacao_area";"ds_condicao_dominio";"st_imovel_principal";"nr_latitude";"nr_longitude"
5202;Terra;ha;0.70;"2603108";PE;Cachoeirinha;Rural;Comodatário;true;-8.48046914713773;-36.28648450221058
5203;Terra;ha;23.77;"2607406";PE;Itacuruba;Rural;Posseiro;true;-8.666468821513686;-38.62939417362213
5204;Terra;ha;3.16;"3160306";MG;Santo Antônio do Jacinto;Rural;Uso Coletivo;true;-16.466276015034317;-40.12398540973663
5205;Terra;ha;17.30;"4313201";RS;Nova Petrópolis;Rural;Proprietário;true;-29.411046;-51.13304
5205;Terra;ha;2.22;"4313201";RS;Nova Petrópolis;Rural;Proprietário;false;-29.40953;-51.133104
5205;Terra;ha;2.00;"4313201";RS;Nova Petrópolis;Rural;Proprietário;false;-29.409699;-51.137306
5206;Terra;ha;5.14;"4104600";PR;Capitão Leônidas Marques;Rural;Proprietário;false;-25.446975;-53.569383
5206;Terra;ha;7.00;"4104600";PR;Capitão Leônidas Marques;Rural;Comodatário;false;-25.459514;-53.527283
5206;Terra;ha;20.73;"4104600";PR;Capitão Leônidas Marques;Rural;Proprietário;true;-25.434825;-53.571136
5207;Terra;ha;3.46;"2510006";PB;Nazarezinho;Rural;Posseiro;true;-7.012187959337853;-38.321433663368225
5210;Terra;ha;1.22;"2604502";PE;Chã Grande;Rural;Posseiro;true;-8.21910126278036;-35.44040350108978
5211;Terra;ha;10.00;"2607406";PE;Itacuruba;Rural;Posseiro;true;-8.801841107092471;-38.7020069360733
5212;Terra;ha;31.10;"2510006";PB;Nazarezinho;Rural;Posseiro;true;-6.9576640135788566;-38.354392647743225
5214;Terra;ha;10.14;"2607406";PE;Itacuruba;Rural;Posseiro;true;-8.733130625653262;-38.683982491493225
5216;Terra;ha;6.00;"4316808";RS;Santa Cruz do Sul;Rural;Proprietário;true;-29.593194657377598;-52.33919441699982
5218;Terra;ha;10.00;"4312955";RS;Nova Boa Vista;Rural;Arrendatário;true;-27.960221;-52.987638
5219;Terra;ha;11.25;"4218707";SC;Tubarão;Rural;Proprietário;true;-28.478810953549505;-48.981932401657104
5220;Terra;ha;1.01;"2614402";PE;Solidão;Rural;Posseiro;true;-7.564422;-37.692411
5221;Terra;ha;27.46;"4104600";PR;Capitão Leônidas Marques;Rural;Parceiro/meeiro;false;-25.446581;-53.604281
5221;Terra;ha;19.02;"4104600";PR;Capitão Leônidas Marques;Rural;Parceiro/meeiro;true;-25.446581;-53.604278
5222;Terra;ha;2.00;"2614105";PE;Sertânia;Rural;Posseiro;true;-8.326337805784748;-37.59376645088196
5223;Terra;ha;2.00;"2603900";PE;Carnaíba;Rural;Comodatário;true;-7.925497715647738;-37.75598108768463
5224;Terra;ha;43.92;"3119302";MG;Coromandel;Rural;Arrendatário;true;-18.520256;-46.851388
5225;Terra;ha;27.00;"2614105";PE;Sertânia;Rural;Proprietário;true;-8.117911;-37.410734
